GA,50th,5th,95th,SD
21.285714285714285,20.37842038473017,16.776959684618483,23.979881084841853,2.1895326374946413
21.322931577440595,20.44336552116105,16.84190482104936,24.044826221272732,2.1895326374946413
21.360148869166903,20.50831226444206,16.906851564330374,24.109772964553745,2.1895326374946413
21.397366160893213,20.573260614573215,16.971799914461528,24.1747213146849,2.1895326374946413
21.434583452619524,20.638210571554502,17.036749871442815,24.239671271666186,2.1895326374946413
21.471800744345835,20.703162135385924,17.101701435274236,24.304622835497607,2.1895326374946413
21.509018036072142,20.76811530606748,17.16665460595579,24.369576006179162,2.1895326374946413
21.546235327798453,20.833070083599168,17.23160938348748,24.43453078371085,2.1895326374946413
21.583452619524763,20.89802646798099,17.296565767869303,24.499487168092674,2.1895326374946413
21.620669911251074,20.962984459212947,17.36152375910126,24.56444515932463,2.1895326374946413
21.65788720297738,21.027944057295038,17.42648335718335,24.62940475740672,2.1895326374946413
21.695104494703692,21.092905262227262,17.491444562115575,24.694365962338946,2.1895326374946413
21.732321786430003,21.157868074009627,17.55640737389794,24.75932877412131,2.1895326374946413
21.76953907815631,21.22283249264212,17.621371792530432,24.824293192753803,2.1895326374946413
21.80675636988262,21.287798518124745,17.686337818013058,24.88925921823643,2.1895326374946413
21.84397366160893,21.352766150457505,17.751305450345818,24.95422685056919,2.1895326374946413
21.881190953335242,21.417735389640406,17.81627468952872,25.01919608975209,2.1895326374946413
21.91840824506155,21.482706235673433,17.881245535561746,25.084166935785117,2.1895326374946413
21.95562553678786,21.5476786885566,17.946217988444914,25.149139388668285,2.1895326374946413
21.99284282851417,21.612652748289904,18.011192048178216,25.214113448401587,2.1895326374946413
22.030060120240478,21.677628414873332,18.076167714761645,25.279089114985016,2.1895326374946413
22.06727741196679,21.742605688306902,18.141144988195215,25.344066388418586,2.1895326374946413
22.1044947036931,21.807584568590606,18.20612386847892,25.40904526870229,2.1895326374946413
22.14171199541941,21.872565055724444,18.271104355612756,25.474025755836127,2.1895326374946413
22.178929287145717,21.937547149708408,18.33608644959672,25.53900784982009,2.1895326374946413
22.216146578872028,22.002530850542513,18.401070150430826,25.603991550654197,2.1895326374946413
22.25336387059834,22.067516158226752,18.466055458115065,25.668976858338436,2.1895326374946413
22.29058116232465,22.132503072761132,18.531042372649445,25.733963772872816,2.1895326374946413
22.327798454050956,22.19749159414563,18.596030894033944,25.798952294257315,2.1895326374946413
22.365015745777267,22.262481722380272,18.661021022268585,25.863942422491956,2.1895326374946413
22.402233037503578,22.327473457465047,18.72601275735336,25.92893415757673,2.1895326374946413
22.439450329229885,22.392466799399955,18.791006099288268,25.99392749951164,2.1895326374946413
22.476667620956196,22.457461748185004,18.856001048073317,26.058922448296688,2.1895326374946413
22.513884912682506,22.52245830382018,18.920997603708493,26.123919003931864,2.1895326374946413
22.551102204408817,22.587456466305497,18.98599576619381,26.18891716641718,2.1895326374946413
22.588319496135124,22.65245623564094,19.050995535529253,26.253916935752624,2.1895326374946413
22.625536787861435,22.717457611826518,19.11599691171483,26.3189183119382,2.1895326374946413
22.662754079587746,22.782460594862236,19.18099989475055,26.38392129497392,2.1895326374946413
22.699971371314057,22.84746518474809,19.2460044846364,26.448925884859772,2.1895326374946413
22.737188663040364,22.912471381484067,19.31101068137238,26.51393208159575,2.1895326374946413
22.774405954766674,22.977479185070187,19.3760184849585,26.57893988518187,2.1895326374946413
22.811623246492985,23.04248859550644,19.441027895394754,26.643949295618125,2.1895326374946413
22.848840538219292,23.10749961279282,19.506038912681134,26.708960312904505,2.1895326374946413
22.886057829945603,23.172512236929343,19.571051536817656,26.773972937041027,2.1895326374946413
22.923275121671914,23.237526467916,19.63606576780431,26.838987168027682,2.1895326374946413
22.960492413398224,23.302542305752787,19.7010816056411,26.90400300586447,2.1895326374946413
22.99770970512453,23.36755975043971,19.766099050328023,26.969020450551394,2.1895326374946413
23.034926996850842,23.432578801976767,19.83111810186508,27.03403950208845,2.1895326374946413
23.072144288577153,23.497599460363958,19.89613876025227,27.09906016047564,2.1895326374946413
23.109361580303464,23.56262172560129,19.961161025489602,27.164082425712973,2.1895326374946413
23.14657887202977,23.627645597688748,20.02618489757706,27.22910629780043,2.1895326374946413
23.18379616375608,23.69267107662634,20.091210376514653,27.294131776738023,2.1895326374946413
23.221013455482392,23.757698162414073,20.156237462302386,27.359158862525756,2.1895326374946413
23.2582307472087,23.822726855051933,20.221266154940245,27.424187555163616,2.1895326374946413
23.29544803893501,23.887757154539926,20.28629645442824,27.48921785465161,2.1895326374946413
23.33266533066132,23.95278906087806,20.351328360766374,27.554249760989745,2.1895326374946413
23.36988262238763,24.01782257406633,20.416361873954642,27.619283274178013,2.1895326374946413
23.40709991411394,24.082857694104717,20.48139699399303,27.6843183942164,2.1895326374946413
23.44431720584025,24.147894420993254,20.546433720881566,27.749355121104937,2.1895326374946413
23.48153449756656,24.212932754731924,20.611472054620236,27.814393454843607,2.1895326374946413
23.51875178929287,24.277972695320727,20.67651199520904,27.87943339543241,2.1895326374946413
23.555969081019178,24.343014242759658,20.74155354264797,27.94447494287134,2.1895326374946413
23.59318637274549,24.40805739704873,20.806596696937042,28.009518097160413,2.1895326374946413
23.6304036644718,24.47310215818794,20.871641458076255,28.074562858299625,2.1895326374946413
23.667620956198107,24.538148526177274,20.936687826065587,28.139609226288957,2.1895326374946413
23.704838247924418,24.603196501016747,21.00173580090506,28.20465720112843,2.1895326374946413
23.74205553965073,24.66824608270636,21.066785382594674,28.269706782818044,2.1895326374946413
23.779272831377035,24.733297271246094,21.131836571134407,28.334757971357778,2.1895326374946413
23.816490123103346,24.798350066635976,21.19688936652429,28.39981076674766,2.1895326374946413
23.853707414829657,24.863404468875984,21.261943768764297,28.464865168987668,2.1895326374946413
23.890924706555968,24.928460477966134,21.326999777854446,28.529921178077817,2.1895326374946413
23.92814199828228,24.993518093906403,21.392057393794715,28.594978794018086,2.1895326374946413
23.965359290008585,25.058577316696812,21.457116616585125,28.660038016808496,2.1895326374946413
24.002576581734896,25.123638146337363,21.522177446225676,28.725098846449047,2.1895326374946413
24.039793873461207,25.188700582828048,21.58723988271636,28.79016128293973,2.1895326374946413
24.077011165187514,25.25376462616886,21.652303926057172,28.855225326280543,2.1895326374946413
24.114228456913825,25.318830276359805,21.717369576248117,28.920290976471488,2.1895326374946413
24.151445748640135,25.38389753340089,21.782436833289204,28.985358233512574,2.1895326374946413
24.188663040366443,25.44896639729211,21.847505697180424,29.050427097403794,2.1895326374946413
24.225880332092753,25.514036868033465,21.912576167921777,29.115497568145148,2.1895326374946413
24.263097623819064,25.579108945624952,21.977648245513265,29.180569645736636,2.1895326374946413
